Warehouse_block,Warehouse_city,Mode_of_Shipment,Name of charged warehouse's employee,LOADING_DATE,DELIVERED_TO_WAREHOUSE_DATE
Warehouse B,San Jose,Ship,Macy Norris,08/08/2021,05/09/2021
Warehouse D,New York,Ship,Cordelia Young,26/04/2021,24/05/2021
Warehouse B,San Jose,Ship,Bailey Morrison,14/06/2021,12/07/2021
Warehouse A,Birmingham,Ship,Jorge Vincent,20/04/2021,18/05/2021
Warehouse B,San Jose,Ship,Syed Gonzales,08/08/2021,05/09/2021
Warehouse C,Boston,Ship,Aiden Haas,15/06/2021,13/07/2021
Warehouse B,San Jose,Ship,Jaya Briggs,27/05/2021,24/06/2021
Warehouse D,New York,Ship,Kieran Arroyo,14/06/2021,12/07/2021
Warehouse B,San Jose,Ship,Georgie Fox,07/06/2021,05/07/2021
Warehouse A,Birmingham,Ship,Ollie Lewis,18/06/2021,16/07/2021
Warehouse B,San Jose,Ship,Jay Ferguson,22/07/2021,19/08/2021
Warehouse C,Boston,Ship,Sienna Hughes,09/05/2021,06/06/2021
Warehouse B,San Jose,Ship,Tatiana Barlow,13/04/2021,11/05/2021
Warehouse D,New York,Ship,Jaime Adams,09/06/2021,07/07/2021
Warehouse B,San Jose,Ship,Leighton Moss,31/03/2021,28/04/2021
Warehouse A,Birmingham,Ship,Juliet Merritt,12/06/2021,10/07/2021
Warehouse B,San Jose,Ship,Mason Preston,03/07/2021,31/07/2021
Warehouse C,Boston,Ship,Taha Mckee,25/07/2021,22/08/2021
Warehouse B,San Jose,Road,Levi Waters,19/08/2021,16/09/2021
Warehouse D,New York,Road,Eliza Rangel,28/03/2021,25/04/2021
Warehouse B,San Jose,Road,Lara Hardy,03/10/2020,31/10/2020
Warehouse A,Birmingham,Road,Sasha Hunt,15/07/2021,12/08/2021
Warehouse B,San Jose,Road,Callan Parrish,14/09/2021,12/10/2021
Warehouse C,Boston,Road,Aidan Bishop,23/05/2021,20/06/2021
Warehouse B,San Jose,Road,Rayhan Montes,16/04/2021,14/05/2021
Warehouse D,New York,Road,Tia Oconnor,02/05/2021,30/05/2021
Warehouse B,San Jose,Road,Dante Roth,14/06/2021,12/07/2021
Warehouse A,Birmingham,Road,Sana Smith,16/09/2021,14/10/2021
Warehouse B,San Jose,Road,Safa Benton,10/08/2021,07/09/2021
Warehouse C,Boston,Road,Faith Watson,05/08/2021,02/09/2021
Warehouse B,San Jose,Road,Terry Mitchell,13/07/2021,10/08/2021
Warehouse D,New York,Road,Liberty Dunlap,09/08/2021,06/09/2021
Warehouse B,San Jose,Road,Elena Herman,27/05/2021,24/06/2021
Warehouse A,Birmingham,Road,Rebekah Wright,06/06/2021,04/07/2021
Warehouse B,San Jose,Road,Sian Lester,19/07/2021,16/08/2021
Warehouse C,Boston,Road,Sydney Wyatt,07/07/2021,04/08/2021
Warehouse B,San Jose,Road,Jordan Bush,07/07/2021,04/08/2021
Warehouse D,New York,Road,Spencer Simpson,07/10/2021,04/11/2021
Warehouse B,San Jose,Road,Meredith Parks,21/04/2021,19/05/2021
Warehouse A,Birmingham,Road,Malik Fleming,13/08/2021,10/09/2021
Warehouse B,San Jose,Air,Taylor Romero,28/05/2021,25/06/2021
Warehouse C,Boston,Air,Colby Rodriguez,26/06/2021,24/07/2021
Warehouse B,San Jose,Air,Jan Blankenship,31/08/2021,28/09/2021
Warehouse D,New York,Air,Phoenix James,23/12/2020,20/01/2021
Warehouse B,San Jose,Air,Courtney Mays,14/04/2021,12/05/2021
Warehouse A,Birmingham,Air,Darcey Hurst,31/01/2021,28/02/2021
Warehouse B,San Jose,Air,Sion Doherty,13/01/2021,10/02/2021
Warehouse C,Boston,Air,Jayden Franklin,12/01/2021,09/02/2021
Warehouse B,San Jose,Air,Kacie Trujillo,19/12/2020,16/01/2021
Warehouse D,New York,Air,Kelly Mccann,19/03/2021,16/04/2021
Warehouse B,San Jose,Air,Ellis Kaufman,04/04/2021,02/05/2021
Warehouse A,Birmingham,Air,Nevaeh Gilmore,05/02/2021,05/03/2021
Warehouse B,San Jose,Air,Leslie Blackburn,09/02/2021,09/03/2021
Warehouse C,Boston,Air,Hayden Oliver,03/04/2021,01/05/2021
Warehouse B,San Jose,Air,Tyler Bruce,05/03/2021,02/04/2021
Warehouse D,New York,Air,Hope Horn,25/07/2021,22/08/2021
Warehouse B,San Jose,Air,Rio Hamilton,26/07/2021,23/08/2021
Warehouse A,Birmingham,Air,Jose Stevenson,28/01/2021,25/02/2021
Warehouse B,San Jose,Air,Bryn Sherman,04/04/2021,02/05/2021
Warehouse C,Boston,Air,Seren Wiley,07/03/2021,04/04/2021
Warehouse B,San Jose,Air,Gabriel Winter,28/12/2018,25/01/2019
Warehouse D,New York,Air,Rowan Hayes,24/04/2021,22/05/2021
Warehouse B,San Jose,Ship,Alexis Rojas,26/06/2021,24/07/2021
Warehouse A,Birmingham,Ship,Stella Jacobson,24/03/2021,21/04/2021
Warehouse B,San Jose,Ship,Remi Levine,07/05/2021,04/06/2021
Warehouse C,Boston,Ship,Darcy Perkins,15/03/2021,12/04/2021
Warehouse B,San Jose,Ship,Harmony Copeland,03/11/2019,01/12/2019
Warehouse D,New York,Ship,Evangeline Reynolds,03/05/2021,31/05/2021
Warehouse B,San Jose,Ship,Madison Meadows,04/02/2021,04/03/2021
Warehouse A,Birmingham,Ship,Jenna Castro,27/03/2021,24/04/2021
Warehouse B,San Jose,Ship,Alfie Shields,11/12/2020,08/01/2021
Warehouse C,Boston,Ship,Sam Osborne,30/08/2019,27/09/2019
Warehouse B,San Jose,Ship,Kane Doyle,04/01/2021,01/02/2021
Warehouse D,New York,Ship,Ada Gordon,22/05/2021,19/06/2021
Warehouse B,San Jose,Ship,Elijah Heath,25/06/2021,23/07/2021
Warehouse A,Birmingham,Ship,Ines Higgins,02/05/2021,30/05/2021
Warehouse B,San Jose,Ship,Everly Montoya,07/06/2021,05/07/2021
Warehouse C,Boston,Ship,Kian Burke,23/03/2021,20/04/2021
Warehouse B,San Jose,Ship,Saba Dickerson,20/03/2021,17/04/2021
Warehouse D,New York,Ship,Sidney Baxter,21/03/2021,18/04/2021
Warehouse B,San Jose,Ship,Tegan Ibarra,26/04/2021,24/05/2021
Warehouse A,Birmingham,Ship,Eden Mclean,01/06/2021,29/06/2021
Warehouse B,San Jose,Ship,Charley Short,26/04/2021,24/05/2021
Warehouse C,Boston,Ship,Ebony Pineda,02/06/2021,30/06/2021
Warehouse B,San Jose,Ship,Wyatt Michael,17/07/2021,14/08/2021
Warehouse D,New York,Ship,Marion Blair,26/07/2021,23/08/2021
Warehouse B,San Jose,Ship,Shelby Roach,31/08/2021,28/09/2021
Warehouse A,Birmingham,Ship,Jerry Mueller,31/07/2021,28/08/2021
Warehouse B,San Jose,Ship,Corey Cline,21/06/2021,19/07/2021
Warehouse C,Boston,Ship,Rio Morrow,08/06/2021,06/07/2021
Warehouse B,San Jose,Ship,Jaden Watson,30/07/2021,27/08/2021
Warehouse D,New York,Ship,Lenny Page,13/08/2021,10/09/2021
Warehouse B,San Jose,Ship,Ellis Burnett,11/08/2021,08/09/2021
Warehouse A,Birmingham,Ship,Maddison Ferrell,10/07/2021,07/08/2021
Warehouse B,San Jose,Ship,Dylan Briggs,11/07/2021,08/08/2021
Warehouse C,Boston,Ship,Vivian Wade,02/09/2021,30/09/2021
Warehouse B,San Jose,Ship,Neo Welsh,14/05/2021,11/06/2021
Warehouse D,New York,Ship,Sydney Miranda,30/03/2021,27/04/2021
Warehouse B,San Jose,Ship,Malik Rose,12/06/2021,10/07/2021
Warehouse A,Birmingham,Ship,Eliza Blaese,05/06/2021,03/07/2021
Warehouse B,San Jose,Ship,Stevie Long,25/06/2021,23/07/2021
Warehouse C,Boston,Ship,Jay Bowen,14/06/2021,12/07/2021
Warehouse B,San Jose,Ship,Claire Wilkinson,04/07/2021,01/08/2021
Warehouse D,New York,Ship,Julia Jefferson,05/07/2021,02/08/2021
Warehouse B,San Jose,Ship,Stella Herrera,10/06/2021,08/07/2021
Warehouse A,Birmingham,Ship,Esme Sandoval,14/07/2021,11/08/2021
Warehouse B,San Jose,Ship,Casey Park,02/05/2021,30/05/2021
Warehouse C,Boston,Ship,Francis Riggs,02/08/2021,30/08/2021
Warehouse B,San Jose,Ship,Meredith Buckley,12/05/2021,09/06/2021
Warehouse D,New York,Ship,Mason Cain,12/06/2021,10/07/2021
Warehouse B,San Jose,Ship,Kristen Carter,28/06/2021,26/07/2021
Warehouse A,Birmingham,Ship,Jade Powell,03/05/2021,31/05/2021
Warehouse B,San Jose,Ship,Cian Escobar,24/06/2021,22/07/2021
Warehouse C,Boston,Ship,Sian Mann,25/06/2021,23/07/2021
Warehouse B,San Jose,Ship,Brooke York,15/07/2021,12/08/2021
Warehouse D,New York,Ship,Bryn Mills,15/07/2021,12/08/2021
Warehouse B,San Jose,Ship,Kira Garcia,25/07/2021,22/08/2021
Warehouse A,Birmingham,Ship,Jan Garrett,26/06/2021,24/07/2021
Warehouse B,San Jose,Ship,Jean Callahan,16/07/2021,13/08/2021
Warehouse C,Boston,Ship,Rayhan Nixon,25/09/2021,23/10/2021
Warehouse B,San Jose,Ship,Ines Pittman,23/07/2021,20/08/2021
Warehouse D,New York,Ship,Mackenzie Carroll,28/08/2021,25/09/2021
Warehouse B,San Jose,Ship,Dale Wall,23/08/2021,20/09/2021
Warehouse A,Birmingham,Ship,Marley Solis,24/08/2021,21/09/2021
Warehouse B,San Jose,Ship,Saba Howell,25/08/2021,22/09/2021
Warehouse C,Boston,Ship,Evan Patel,26/08/2021,23/09/2021
Warehouse B,San Jose,Ship,Mattie Shaffer,27/08/2021,24/09/2021
Warehouse D,New York,Ship,Tyrese Dean,11/07/2021,08/08/2021
Warehouse B,San Jose,Ship,Elena Vance,24/07/2021,21/08/2021
Warehouse A,Birmingham,Ship,Troy Rush,07/07/2021,04/08/2021
Warehouse B,San Jose,Ship,Cruz Fowler,19/08/2021,16/09/2021
Warehouse C,Boston,Ship,Ebony Odom,10/07/2021,07/08/2021
Warehouse B,San Jose,Ship,Colby Steele,26/09/2021,24/10/2021
Warehouse D,New York,Ship,Jaya Boyle,30/04/2021,28/05/2021
Warehouse B,San Jose,Ship,Ray Francis,24/04/2021,22/05/2021
Warehouse A,Birmingham,Ship,Aidan Peters,06/06/2021,04/07/2021
Warehouse B,San Jose,Ship,Robin Hess,07/06/2021,05/07/2021
Warehouse C,Boston,Ship,Aoife Santos,08/06/2021,06/07/2021
Warehouse B,San Jose,Ship,Ali Newman,09/06/2021,07/07/2021
Warehouse D,New York,Ship,Marissa Medina,03/08/2021,31/08/2021
Warehouse B,San Jose,Ship,Andrea Barry,18/08/2021,15/09/2021
Warehouse A,Birmingham,Ship,Georgie Espinoza,07/10/2021,04/11/2021
Warehouse B,San Jose,Ship,Freddie Carpenter,11/07/2021,08/08/2021
Warehouse C,Boston,Ship,Sienna Flynn,08/07/2021,05/08/2021
Warehouse B,San Jose,Ship,Anika Gill,12/08/2021,09/09/2021
Warehouse D,New York,Ship,Rebekah Gilbert,02/09/2021,30/09/2021
Warehouse B,San Jose,Ship,Kyan Robertson,11/07/2021,08/08/2021
Warehouse A,Birmingham,Ship,Harri Oconnor,12/07/2021,09/08/2021
Warehouse B,San Jose,Ship,Leighton Joyce,13/07/2021,10/08/2021
Warehouse C,Boston,Ship,Pearl Lawrence,14/07/2021,11/08/2021
Warehouse B,San Jose,Ship,Cory Kim,15/07/2021,12/08/2021
Warehouse D,New York,Ship,Spencer Randolph,16/07/2021,13/08/2021
Warehouse B,San Jose,Ship,Juliet Bush,17/07/2021,14/08/2021
Warehouse A,Birmingham,Ship,Kelly Blackburn,18/07/2021,15/08/2021
Warehouse B,San Jose,Ship,Siobhan Cotton,14/09/2021,12/10/2021
Warehouse C,Boston,Road,Dana Parsons,21/09/2021,19/10/2021
Warehouse B,San Jose,Road,Jude Bray,13/06/2021,11/07/2021
Warehouse D,New York,Road,Zain Lyons,28/08/2021,25/09/2021
Warehouse B,San Jose,Road,Jaime Bentley,18/09/2021,16/10/2021
Warehouse A,Birmingham,Road,Devon Orr,15/09/2021,13/10/2021
Warehouse B,San Jose,Road,Lennox Willis,16/09/2021,14/10/2021
Warehouse C,Boston,Road,Wade Sullivan,07/07/2021,04/08/2021
Warehouse B,San Jose,Road,Erica Cervantes,12/07/2021,09/08/2021
Warehouse D,New York,Road,Lee Pearson,06/09/2021,04/10/2021
Warehouse B,San Jose,Road,Ollie Reese,09/07/2021,06/08/2021
Warehouse A,Birmingham,Road,Cameron Shields,03/11/2021,01/12/2021
Warehouse B,San Jose,Road,Louie Mccarthy,05/06/2021,03/07/2021
Warehouse C,Boston,Road,Harley Mason,19/09/2021,17/10/2021
Warehouse B,San Jose,Road,Katrina Clayton,06/05/2021,03/06/2021
Warehouse D,New York,Road,Sana Mckee,18/09/2021,16/10/2021
Warehouse B,San Jose,Road,Kobi Caldwell,24/08/2021,21/09/2021
Warehouse A,Birmingham,Road,Safa Hodges,26/08/2021,23/09/2021
Warehouse B,San Jose,Road,Nana Dickson,01/05/2021,29/05/2021
Warehouse C,Boston,Road,Oakley Sanford,17/07/2021,14/08/2021
Warehouse B,San Jose,Road,Robbie Salinas,30/07/2021,27/08/2021
Warehouse D,New York,Road,Lachlan Dawson,18/09/2021,16/10/2021
Warehouse B,San Jose,Road,Dante Gutierrez,19/09/2021,17/10/2021
Warehouse A,Birmingham,Air,Virginia Moses,20/09/2021,18/10/2021
Warehouse B,San Jose,Air,Ashleigh Graves,20/07/2021,17/08/2021
Warehouse C,Boston,Air,Courtney Klein,28/08/2021,25/09/2021
Warehouse B,San Jose,Air,Mae Davis,05/07/2021,02/08/2021
Warehouse D,New York,Air,Aiden Terry,23/03/2021,20/04/2021
Warehouse B,San Jose,Air,Alexis Dunlap,29/07/2021,26/08/2021
Warehouse A,Birmingham,Air,Levi Collins,24/07/2021,21/08/2021
Warehouse B,San Jose,Air,Kian Odling,17/03/2021,14/04/2021
Warehouse C,Boston,Air,Faith Meadows,18/03/2021,15/04/2021
Warehouse B,San Jose,Air,Willie Richard,03/08/2021,31/08/2021
Warehouse D,New York,Air,Cordelia Holmes,19/08/2021,16/09/2021
Warehouse B,San Jose,Air,Francis Riddle,12/08/2021,09/09/2021
Warehouse A,Birmingham,Air,Jesse Hanna,08/08/2021,05/09/2021
Warehouse B,San Jose,Air,Ronnie Kirk,17/08/2021,14/09/2021
Warehouse C,Boston,Air,Phoenix Haines,08/08/2021,05/09/2021
Warehouse B,San Jose,Air,Willie Burton,18/06/2021,16/07/2021
Warehouse D,New York,Air,Haydn Mccarthy,18/09/2021,16/10/2021
Warehouse B,San Jose,Air,Tatiana Mcdonald,18/09/2021,16/10/2021
Warehouse A,Birmingham,Air,Gabriel Holland,24/07/2021,21/08/2021
Warehouse B,San Jose,Air,Saba Bonner,30/07/2021,27/08/2021
Warehouse C,Boston,Air,Stella Jarvis,19/09/2021,17/10/2021
Warehouse B,San Jose,Air,Armaan Mann,10/09/2021,08/10/2021
Warehouse D,New York,Ship,Joel Gibbs,02/10/2021,30/10/2021
Warehouse B,San Jose,Ship,Angel Daugherty,10/09/2021,08/10/2021
Warehouse A,Birmingham,Ship,Jordan Fischer,28/09/2021,26/10/2021
Warehouse B,San Jose,Ship,Darcy Doherty,07/09/2021,05/10/2021
Warehouse C,Boston,Ship,Jay Chan,28/09/2021,26/10/2021
Warehouse B,San Jose,Ship,Kira Huffman,18/08/2021,15/09/2021
Warehouse D,New York,Ship,Kaden Bray,07/09/2021,05/10/2021
Warehouse B,San Jose,Ship,Seren Carroll,19/08/2021,16/09/2021
Warehouse A,Birmingham,Ship,Frances Webb,02/08/2021,30/08/2021
Warehouse B,San Jose,Ship,Mason Odonnell,27/09/2021,25/10/2021
Warehouse C,Boston,Ship,Evangeline Baker,01/09/2021,29/09/2021
Warehouse B,San Jose,Ship,Wade Schwartz,28/09/2021,26/10/2021
Warehouse D,New York,Ship,Eliza O'Connor,29/09/2021,27/10/2021
Warehouse B,San Jose,Ship,Morgan Sharpe,21/09/2021,19/10/2021
Warehouse A,Birmingham,Ship,Anita Everett,13/09/2021,11/10/2021
Warehouse B,San Jose,Ship,Evan Abbott,30/08/2021,27/09/2021
Warehouse C,Boston,Ship,Kade Tapia,15/08/2021,12/09/2021
Warehouse B,San Jose,Ship,Kian Alvarez,16/07/2021,13/08/2021
Warehouse D,New York,Ship,Jenna Hartman,24/09/2021,22/10/2021
Warehouse B,San Jose,Ship,Jaden Mayer,06/08/2021,03/09/2021
Warehouse A,Birmingham,Ship,Rebekah Bradford,04/09/2021,02/10/2021
Warehouse B,San Jose,Ship,Casey Grant,18/09/2021,16/10/2021
Warehouse C,Boston,Ship,Hope Tanner,08/06/2021,06/07/2021
Warehouse B,San Jose,Ship,Sami Goodman,22/05/2021,19/06/2021
Warehouse D,New York,Ship,Cleo Mckenzie,06/08/2021,03/09/2021
Warehouse B,San Jose,Ship,Tyrell Wells,08/07/2021,05/08/2021
Warehouse A,Birmingham,Ship,Cade Crosby,13/08/2021,10/09/2021
Warehouse B,San Jose,Ship,Harley Ball,30/09/2021,28/10/2021
Warehouse C,Boston,Ship,Elijah Schultz,28/09/2021,26/10/2021
Warehouse B,San Jose,Ship,Sienna Rush,04/10/2021,01/11/2021
Warehouse D,New York,Ship,Ciaran Flores,07/10/2021,04/11/2021
Warehouse B,San Jose,Ship,Nicola Joyce,02/10/2021,30/10/2021
Warehouse A,Birmingham,Ship,Siobhan Daniels,30/09/2021,28/10/2021
Warehouse B,San Jose,Ship,Jorge Suarez,06/10/2021,03/11/2021
Warehouse C,Boston,Ship,Jade Ayala,05/10/2021,02/11/2021
Warehouse B,San Jose,Ship,Elena Campbell,31/05/2020,28/06/2020
Warehouse D,New York,Ship,Adrian Gillespie,28/09/2021,26/10/2021
Warehouse B,San Jose,Ship,Cruz Orozco,04/10/2021,01/11/2021
Warehouse A,Birmingham,Ship,Brooke Garrett,05/10/2021,02/11/2021
Warehouse B,San Jose,Ship,Meredith Middleton,30/09/2021,28/10/2021
Warehouse C,Boston,Ship,Sam Hebert,01/10/2021,29/10/2021
Warehouse B,San Jose,Ship,Flynn Velasquez,06/10/2021,03/11/2021
Warehouse D,New York,Ship,Sion Hayes,27/08/2021,24/09/2021
Warehouse B,San Jose,Ship,Kelsey Flynn,06/07/2021,03/08/2021
Warehouse A,Birmingham,Ship,Brooklyn Aguirre,02/09/2021,30/09/2021
Warehouse B,San Jose,Ship,Katerina Zamora,09/09/2021,07/10/2021
Warehouse C,Boston,Ship,Brogan Powers,09/10/2021,06/11/2021
Warehouse B,San Jose,Ship,Cameron Hoover,26/09/2021,24/10/2021
Warehouse D,New York,Ship,Safa Porter,21/10/2021,18/11/2021
Warehouse B,San Jose,Ship,Vivian Jordan,01/11/2021,29/11/2021
Warehouse A,Birmingham,Ship,Cody Randolph,28/09/2021,26/10/2021
Warehouse B,San Jose,Ship,Ashleigh Roberts,29/09/2021,27/10/2021
Warehouse C,Boston,Ship,Tyrese Spencer,30/09/2021,28/10/2021
Warehouse B,San Jose,Ship,Rohan Fisher,26/09/2021,24/10/2021
Warehouse D,New York,Ship,Nora Lawrence,26/08/2021,23/09/2021
Warehouse B,San Jose,Ship,Lachlan Guerrero,27/08/2021,24/09/2021
Warehouse A,Birmingham,Ship,Callan Little,10/12/2021,07/01/2022
Warehouse B,San Jose,Ship,Pearl Clark,31/08/2021,28/09/2021
Warehouse C,Boston,Ship,Felix Gomez,19/10/2021,16/11/2021
Warehouse B,San Jose,Ship,Ty Norman,08/10/2021,05/11/2021
Warehouse D,New York,Ship,Carter Parsons,07/10/2021,04/11/2021
Warehouse B,San Jose,Ship,Harmony Rasmussen,08/10/2021,05/11/2021
Warehouse A,Birmingham,Ship,Taylor Pratt,09/10/2021,06/11/2021
Warehouse B,San Jose,Ship,Jamie Paul,10/10/2021,07/11/2021
Warehouse C,Boston,Ship,Elisha Shelton,30/09/2021,28/10/2021
Warehouse B,San Jose,Ship,Tyler Vargas,01/10/2021,29/10/2021
Warehouse D,New York,Ship,Regan England,03/10/2021,31/10/2021
Warehouse B,San Jose,Ship,Benedict Reilly,01/10/2021,29/10/2021
Warehouse A,Birmingham,Ship,Hayden Dalton,29/09/2021,27/10/2021
Warehouse B,San Jose,Ship,Nate Rich,30/09/2021,28/10/2021
Warehouse C,Boston,Ship,Ada Patterson,01/10/2021,29/10/2021
Warehouse B,San Jose,Ship,Lyndon Petty,21/11/2021,19/12/2021
Warehouse D,New York,Ship,Claudia Riggs,22/11/2021,20/12/2021
Warehouse B,San Jose,Ship,Sian Knight,04/10/2021,01/11/2021
Warehouse A,Birmingham,Ship,Jaydon Sosa,13/10/2021,10/11/2021
Warehouse B,San Jose,Ship,Logan Woodard,27/09/2021,25/10/2021
Warehouse C,Boston,Ship,Anika Barlow,16/10/2021,13/11/2021
Warehouse B,San Jose,Ship,Courtney Hilton,28/10/2021,25/11/2021
Warehouse D,New York,Ship,Robbie Thornton,24/09/2021,22/10/2021
Warehouse B,San Jose,Ship,Mae Hall,06/10/2021,03/11/2021
Warehouse A,Birmingham,Ship,Shannon Best,07/10/2021,04/11/2021
Warehouse B,San Jose,Ship,Raja Nunez,21/09/2021,19/10/2021
Warehouse C,Boston,Ship,Cian Merrill,11/10/2021,08/11/2021
Warehouse B,San Jose,Ship,Keeley Singh,24/09/2021,22/10/2021
Warehouse D,New York,Ship,Harris Browning,25/09/2021,23/10/2021
Warehouse B,San Jose,Ship,Jean Jennings,26/09/2021,24/10/2021
Warehouse A,Birmingham,Ship,Nana Perry,27/09/2021,25/10/2021
Warehouse B,San Jose,Ship,Abby Graham,21/09/2021,19/10/2021
Warehouse C,Boston,Ship,Cordelia Holmes,10/08/2021,07/09/2021
Warehouse B,San Jose,Ship,Francis Riddle,03/10/2021,31/10/2021
Warehouse D,New York,Ship,Jesse Hanna,26/10/2021,23/11/2021
Warehouse B,San Jose,Ship,Ronnie Kirk,29/08/2021,26/09/2021
Warehouse A,Birmingham,Ship,Phoenix Haines,22/08/2021,19/09/2021
Warehouse B,San Jose,Road,Willie Burton,13/10/2021,10/11/2021
Warehouse C,Boston,Road,Haydn Mccarthy,04/10/2021,01/11/2021
Warehouse B,San Jose,Road,Tatiana Mcdonald,05/10/2021,02/11/2021
Warehouse D,New York,Road,Gabriel Holland,06/10/2021,03/11/2021
Warehouse B,San Jose,Road,Saba Bonner,07/10/2021,04/11/2021
Warehouse A,Birmingham,Road,Stella Jarvis,14/10/2021,11/11/2021
Warehouse B,San Jose,Road,Armaan Mann,26/09/2021,24/10/2021
Warehouse C,Boston,Road,Joel Gibbs,28/09/2021,26/10/2021
Warehouse B,San Jose,Road,Angel Daugherty,29/09/2021,27/10/2021
Warehouse D,New York,Road,Jordan Fischer,30/09/2021,28/10/2021
Warehouse B,San Jose,Road,Darcy Doherty,01/10/2021,29/10/2021
Warehouse A,Birmingham,Road,Jay Chan,02/10/2021,30/10/2021
Warehouse B,San Jose,Road,Kira Huffman,03/10/2021,31/10/2021
Warehouse C,Boston,Road,Kaden Bray,14/10/2021,11/11/2021
Warehouse B,San Jose,Road,Seren Carroll,23/10/2021,20/11/2021
Warehouse D,New York,Road,Frances Webb,24/10/2021,21/11/2021
Warehouse B,San Jose,Road,Mason Odonnell,28/09/2021,26/10/2021
Warehouse A,Birmingham,Road,Evangeline Baker,25/10/2021,22/11/2021
Warehouse B,San Jose,Road,Wade Schwartz,30/10/2021,27/11/2021
Warehouse C,Boston,Road,Eliza O'Connor,18/10/2021,15/11/2021
Warehouse B,San Jose,Road,Morgan Sharpe,21/12/2021,18/01/2022
Warehouse D,New York,Road,Anita Everett,14/10/2021,11/11/2021
Warehouse B,San Jose,Air,Evan Abbott,19/02/2022,19/03/2022
Warehouse A,Birmingham,Air,Kade Tapia,17/01/2022,14/02/2022
Warehouse B,San Jose,Air,Kian Alvarez,25/10/2021,22/11/2021
Warehouse C,Boston,Air,Jenna Hartman,20/10/2021,17/11/2021
Warehouse B,San Jose,Air,Jaden Mayer,21/10/2021,18/11/2021
Warehouse D,New York,Air,Rebekah Bradford,14/10/2021,11/11/2021
Warehouse B,San Jose,Air,Casey Grant,13/10/2021,10/11/2021
Warehouse A,Birmingham,Air,Hope Tanner,14/10/2021,11/11/2021
Warehouse B,San Jose,Air,Sami Goodman,25/10/2021,22/11/2021
Warehouse C,Boston,Air,Cleo Mckenzie,09/08/2021,06/09/2021
Warehouse B,San Jose,Air,Tyrell Wells,14/10/2021,11/11/2021
Warehouse D,New York,Air,Cade Crosby,14/10/2021,11/11/2021
Warehouse B,San Jose,Air,Harley Ball,13/10/2021,10/11/2021
Warehouse A,Birmingham,Air,Elijah Schultz,14/10/2021,11/11/2021
Warehouse B,San Jose,Air,Sienna Rush,27/09/2021,25/10/2021
Warehouse C,Boston,Air,Ciaran Flores,28/09/2021,26/10/2021
Warehouse B,San Jose,Air,Nicola Joyce,29/09/2021,27/10/2021
Warehouse D,New York,Air,Siobhan Daniels,19/08/2021,16/09/2021
Warehouse B,San Jose,Air,Jorge Suarez,20/08/2021,17/09/2021
Warehouse A,Birmingham,Air,Jade Ayala,27/09/2021,25/10/2021
Warehouse B,San Jose,Air,Elena Campbell,28/09/2021,26/10/2021
Warehouse C,Boston,Air,Adrian Gillespie,19/09/2021,17/10/2021
Warehouse B,San Jose,Ship,Cruz Orozco,20/09/2021,18/10/2021
Warehouse D,New York,Ship,Brooke Garrett,21/09/2021,19/10/2021
Warehouse B,San Jose,Ship,Meredith Middleton,28/09/2021,26/10/2021
Warehouse A,Birmingham,Ship,Sam Hebert,09/10/2021,06/11/2021
Warehouse B,San Jose,Ship,Flynn Velasquez,15/10/2021,12/11/2021
Warehouse C,Boston,Ship,Sion Hayes,30/09/2021,28/10/2021
Warehouse B,San Jose,Ship,Kelsey Flynn,09/09/2021,07/10/2021
Warehouse D,New York,Ship,Brooklyn Aguirre,10/09/2021,08/10/2021
Warehouse B,San Jose,Ship,Katerina Zamora,11/09/2021,09/10/2021
Warehouse A,Birmingham,Ship,Brogan Powers,12/09/2021,10/10/2021
Warehouse B,San Jose,Ship,Cameron Hoover,13/09/2021,11/10/2021
Warehouse C,Boston,Ship,Safa Porter,18/10/2021,15/11/2021
Warehouse B,San Jose,Ship,Vivian Jordan,29/10/2021,26/11/2021
Warehouse D,New York,Ship,Cody Randolph,30/10/2021,27/11/2021
Warehouse B,San Jose,Ship,Ashleigh Roberts,29/10/2021,26/11/2021
Warehouse A,Birmingham,Ship,Tyrese Spencer,30/10/2021,27/11/2021
Warehouse B,San Jose,Ship,Rohan Fisher,31/10/2021,28/11/2021
Warehouse C,Boston,Ship,Nora Lawrence,01/11/2021,29/11/2021
Warehouse B,San Jose,Ship,Lachlan Guerrero,26/10/2021,23/11/2021
Warehouse D,New York,Ship,Callan Little,17/11/2021,15/12/2021
Warehouse B,San Jose,Ship,Pearl Clark,18/11/2021,16/12/2021
Warehouse A,Birmingham,Ship,Felix Gomez,19/11/2021,17/12/2021
Warehouse B,San Jose,Ship,Ty Norman,31/12/2021,28/01/2022
Warehouse C,Boston,Ship,Carter Parsons,01/01/2022,29/01/2022
Warehouse B,San Jose,Ship,Harmony Rasmussen,02/01/2022,30/01/2022
Warehouse D,New York,Ship,Taylor Pratt,14/11/2021,12/12/2021
Warehouse B,San Jose,Ship,Jamie Paul,19/08/2021,16/09/2021
Warehouse A,Birmingham,Ship,Elisha Shelton,21/10/2021,18/11/2021
Warehouse B,San Jose,Ship,Tyler Vargas,23/10/2021,20/11/2021
Warehouse C,Boston,Ship,Regan England,24/10/2021,21/11/2021
Warehouse B,San Jose,Ship,Benedict Reilly,25/10/2021,22/11/2021
Warehouse D,New York,Ship,Hayden Dalton,13/10/2021,10/11/2021
